project,cliff delta (magnitude): delivery delay: your,cliff delta (magnitude): delivery delay: author,cliff delta (magnitude): delivery delay: result,cliff delta (estimate): delivery delay: your,cliff delta (estimate): delivery delay: author,cliff delta (estimate): delivery delay: result,mww test (p value): delivery delay: your,mww test (p value): delivery delay: author,mww test (p value): delivery delay: result,cliff delta (magnitude): merge time: your,cliff delta (magnitude): merge time: author,cliff delta (magnitude): merge time: result,cliff delta (estimate): merge time: your,cliff delta (estimate): merge time: author,cliff delta (estimate): merge time: result,mww test (p value): merge time: your,mww test (p value): merge time: author,mww test (p value): merge time: result,cliff delta (magnitude): pr lifetime: your,cliff delta (magnitude): pr lifetime: author,cliff delta (magnitude): pr lifetime: result,cliff delta (estimate): pr lifetime: your,cliff delta (estimate): pr lifetime: author,cliff delta (estimate): pr lifetime: result,mww test (p value): pr lifetime: author,mww test (p value): pr lifetime: your,mww test (p value): pr lifetime: result
aframevr/aframe,,,missing,-0.7366332233,-0.784,different,0.0,3.46e-35,close,,,missing,-0.1089662179,-0.104,close,0.0852944709,0.1006900758,different,,,missing,-0.7362839726,-0.788,different,missing,0.0,missing
alohaeditor/aloha-editor,,,missing,-0.5284137673,-0.549,close,0.0,3.4e-24,close,,,missing,0.2674897119,0.275,close,7.541e-07,3.49e-07,different,,,missing,-0.5173213618,-0.543,close,missing,0.0,missing
analyticalgraphicsinc/cesium,,,missing,-0.5293303278,-0.526,close,0.0,9.61e-50,close,,,missing,-0.0174437798,-0.015,different,0.6228958061,0.6723774709,different,,,missing,-0.5104666229,-0.503,close,missing,0.0,missing
androidannotations/androidannotations,,,missing,0.0680291285,0.054,different,0.2323135146,0.3424437971,different,,,missing,0.3824054498,0.396,close,0.0,3.01e-12,close,,,missing,0.0502701433,0.048,close,missing,0.3775013149,missing
andypetrella/spark-notebook,,,missing,-0.5983216783,-0.599,close,0.0,8.14e-19,close,,,missing,0.3112820513,0.309,close,3.0004e-06,3.44e-06,different,,,missing,-0.6020512821,-0.603,close,missing,0.0,missing
ansible/ansible,,,missing,0.784628363,0.808,close,0.0,0.0,exact,,,missing,-0.0714924109,-0.07,close,9.13257e-05,0.0001335268,different,,,missing,0.7325032028,0.773,different,missing,0.0,missing
apache/incubator-airflow,,,missing,0.3959090909,0.405,close,0.0,9.65e-17,close,,,missing,0.2293706294,0.218,different,2.48e-06,7.77e-06,different,,,missing,0.4235664336,0.423,close,missing,0.0,missing
apereo/cas,,,missing,-0.360493811,-0.356,close,0.0,9.03e-16,close,,,missing,-0.0943372761,-0.093,close,0.0333768323,0.0364305355,different,,,missing,-0.3387095718,-0.343,close,missing,0.0,missing
appcelerator/titanium_mobile,,,missing,0.0649332167,0.066,close,0.0003245308,0.0002770609,different,,,missing,-0.144157841,-0.149,close,0.0,1.38e-16,close,,,missing,0.051967511,0.054,close,missing,0.0040138922,missing
babylonjs/babylon.js,,,missing,0.2672824263,0.255,close,7e-10,3.79e-09,close,,,missing,-0.4568536229,-0.477,close,0.0,3.7799999999999998e-28,close,,,missing,0.2652768872,0.251,different,missing,9e-10,missing
bcit-ci/codeigniter,,,missing,-0.9631459775,-0.977,close,0.0,8.91e-120,close,,,missing,-0.0440034027,-0.051,different,0.2948184633,0.2210838999,different,,,missing,-0.9696010608,-1.0,close,missing,0.0,missing
bokeh/bokeh,,,missing,0.0738263517,0.07,different,0.15728244,0.179979614,different,,,missing,0.1948145651,0.186,close,0.0001898009,0.0003617205,different,,,missing,0.108274787,0.095,different,missing,0.0380573342,missing
boto/boto,,,missing,-0.2417806584,-0.261,different,1.272e-07,1.2e-08,different,,,missing,0.1947944738,0.202,close,2.07919e-05,1.06e-05,different,,,missing,-0.1766535903,-0.208,different,missing,0.000113473,missing
buildbot/buildbot,,,missing,0.2914162794,0.31,different,5.201e-07,9.58e-08,different,,,missing,0.3042341356,0.298,close,1.61e-07,2.79e-07,different,,,missing,0.3009679998,0.316,close,missing,2.181e-07,missing
bundler/bundler,,,missing,-0.0054088209,-0.014,different,0.9148053468,0.7761347537,different,,,missing,0.0308479717,0.034,different,0.5409923435,0.5022580254,different,,,missing,-0.0688234551,-0.081,different,missing,0.1725131142,missing
