title,publish_date,start_date,number_of_commits,number_of_prs
1.0.0,2012-11-21T23:25:06+00:00,2012-03-18T01:07:52-07:00,3,0
hystrix-1.0.0,2012-11-21T23:25:06+00:00,2012-11-21T23:25:06+00:00,0,0
1.0.1,2012-11-22T01:40:32+00:00,2012-11-21T23:25:06+00:00,2,0
hystrix-1.0.1,2012-11-22T01:40:32+00:00,2012-11-22T01:40:32+00:00,0,0
1.0.2,2012-11-22T04:59:28+00:00,2012-11-22T01:40:32+00:00,6,2
hystrix-1.0.2,2012-11-22T04:59:28+00:00,2012-11-22T04:59:28+00:00,0,0
1.0.4,2012-12-04T04:20:29+00:00,2012-11-22T04:59:28+00:00,54,14
hystrix-1.0.4,2012-12-04T04:20:29+00:00,2012-12-04T04:20:29+00:00,0,0
1.1.0,2012-12-05T10:15:26-08:00,2012-12-04T04:20:29+00:00,22,5
hystrix-1.1.0,2012-12-05T10:15:26-08:00,2012-12-05T10:15:26-08:00,0,0
1.1.1,2012-12-11T04:41:54+00:00,2012-12-05T10:15:26-08:00,12,2
hystrix-1.1.1,2012-12-11T04:41:54+00:00,2012-12-11T04:41:54+00:00,0,0
1.1.2,2012-12-11T16:30:48+00:00,2012-12-11T04:41:54+00:00,15,1
hystrix-1.1.2,2012-12-11T16:30:48+00:00,2012-12-11T16:30:48+00:00,0,0
1.1.3,2012-12-13T00:16:30+00:00,2012-12-11T16:30:48+00:00,26,2
hystrix-1.1.3,2012-12-13T00:16:30+00:00,2012-12-13T00:16:30+00:00,0,0
1.1.4,2012-12-13T20:56:48+00:00,2012-12-13T00:16:30+00:00,4,1
hystrix-1.1.4,2012-12-13T20:56:48+00:00,2012-12-13T20:56:48+00:00,0,0
1.1.5,2012-12-14T19:21:19+00:00,2012-12-13T20:56:48+00:00,5,1
hystrix-1.1.5,2012-12-14T19:21:19+00:00,2012-12-14T19:21:19+00:00,0,0
1.1.6,2012-12-14T23:24:37+00:00,2012-12-14T19:21:19+00:00,37,2
hystrix-1.1.6,2012-12-14T23:24:37+00:00,2012-12-14T23:24:37+00:00,0,0
1.1.7,2013-01-02T20:34:45+00:00,2012-12-14T23:24:37+00:00,32,9
hystrix-1.1.7,2013-01-02T20:34:45+00:00,2013-01-02T20:34:45+00:00,0,0
1.2.0,2013-01-08T00:14:51+00:00,2013-01-02T20:34:45+00:00,37,4
hystrix-1.2.0,2013-01-08T00:14:51+00:00,2013-01-08T00:14:51+00:00,0,0
1.2.1,2013-01-08T19:14:40+00:00,2013-01-08T00:14:51+00:00,13,2
hystrix-1.2.1,2013-01-08T19:14:40+00:00,2013-01-08T19:14:40+00:00,0,0
1.2.2,2013-01-09T03:49:35+00:00,2013-01-08T19:14:40+00:00,4,1
hystrix-1.2.2,2013-01-09T03:49:35+00:00,2013-01-09T03:49:35+00:00,0,0
1.2.3,2013-01-10T17:23:20+00:00,2013-01-09T03:49:35+00:00,9,2
hystrix-1.2.3,2013-01-10T17:23:20+00:00,2013-01-10T17:23:20+00:00,0,0
1.2.4,2013-01-24T22:01:12+00:00,2013-01-10T17:23:20+00:00,5,1
hystrix-1.2.4,2013-01-24T22:01:12+00:00,2013-01-24T22:01:12+00:00,0,0
1.2.5,2013-02-01T19:00:54+00:00,2013-01-24T22:01:12+00:00,10,3
hystrix-1.2.5,2013-02-01T19:00:54+00:00,2013-02-01T19:00:54+00:00,0,0
1.2.6,2013-02-05T20:40:27+00:00,2013-02-01T19:00:54+00:00,4,1
hystrix-1.2.6,2013-02-05T20:40:27+00:00,2013-02-05T20:40:27+00:00,0,0
1.2.7,2013-02-08T22:26:51+00:00,2013-02-05T20:40:27+00:00,6,1
hystrix-1.2.7,2013-02-08T22:26:51+00:00,2013-02-08T22:26:51+00:00,0,0
1.2.8,2013-02-15T20:53:22+00:00,2013-02-08T22:26:51+00:00,31,6
hystrix-1.2.8,2013-02-15T20:53:22+00:00,2013-02-15T20:53:22+00:00,0,0
1.2.9,2013-02-24T05:46:04+00:00,2013-02-15T20:53:22+00:00,9,3
hystrix-1.2.9,2013-02-24T05:46:04+00:00,2013-02-24T05:46:04+00:00,0,0
1.2.10,2013-02-27T17:56:59+00:00,2013-02-24T05:46:04+00:00,6,1
hystrix-1.2.10,2013-02-27T17:56:59+00:00,2013-02-27T17:56:59+00:00,0,0
1.2.11,2013-03-03T03:35:13+00:00,2013-02-27T17:56:59+00:00,10,3
hystrix-1.2.11,2013-03-03T03:35:13+00:00,2013-03-03T03:35:13+00:00,0,0
1.2.12,2013-03-06T19:44:12+00:00,2013-03-03T03:35:13+00:00,4,1
hystrix-1.2.12,2013-03-06T19:44:12+00:00,2013-03-06T19:44:12+00:00,0,0
1.2.13,2013-03-22T19:21:04+00:00,2013-03-06T19:44:12+00:00,5,1
hystrix-1.2.13,2013-03-22T19:21:04+00:00,2013-03-22T19:21:04+00:00,0,0
1.2.14,2013-03-25T20:37:50+00:00,2013-03-22T19:21:04+00:00,8,1
hystrix-1.2.14,2013-03-25T20:37:50+00:00,2013-03-25T20:37:50+00:00,0,0
1.2.15,2013-03-31T06:18:32+00:00,2013-03-25T20:37:50+00:00,7,1
hystrix-1.2.15,2013-03-31T06:18:32+00:00,2013-03-31T06:18:32+00:00,0,0
1.2.16,2013-04-04T23:32:40+00:00,2013-03-31T06:18:32+00:00,12,3
hystrix-1.2.16,2013-04-04T23:32:40+00:00,2013-04-04T23:32:40+00:00,0,0
1.2.17,2013-07-05T20:50:33+00:00,2013-04-04T23:32:40+00:00,16,5
