author,pull_number,title,description,churn,changed_files,activities,comments,comment_dates,state,creation_date,close_date,closed_by
rpalcolea,2115,Update Github Actions to use latest NetflixOSS recommendations,0,29,3,2,0,,merged,2025-12-17T03:12:48+00:00,2025-12-17 03:21:02+00:00,rpalcolea
GitHubismae,2063,Create SECURITY.md,951,21,1,0,1,2024-11-15T23:06:04+00:00,open,2024-11-15T23:03:49+00:00,,
piotrb5e3,2062,Remove dead X/Twitter link from README,14,1,1,1,2,2024-10-16T10:19:14+00:00;2025-09-16T07:49:58+00:00,closed,2024-10-16T10:16:51+00:00,2025-09-16 07:49:27+00:00,piotrb5e3
gabriellimma,2049,fixing java doc broken link on README.md,56,2,1,0,2,2023-10-17T13:07:15+00:00;2024-06-12T17:11:28+00:00,open,2023-10-17T13:04:46+00:00,,
bhaskar-singhal,2048,percentage shouldn't go beyond 100 to keep the circuits closed on 100% error rate,861,2,1,5,4,2023-09-14T05:19:14+00:00;2023-09-17T17:57:35+00:00;2023-09-18T01:35:17+00:00;2023-10-03T06:27:33+00:00,open,2023-09-14T05:17:20+00:00,,
m3rashid,2045,Fix unresolved 404 link in readme,0,2,1,1,2,2023-08-04T12:32:33+00:00;2024-02-11T08:38:10+00:00,closed,2023-08-04T12:30:43+00:00,2024-02-11 08:37:49+00:00,m3rashid
AlexanderStocks,2042,Refactorings,897,22519,395,1,0,,closed,2023-05-27T17:59:50+00:00,2023-08-29 18:39:34+00:00,AlexanderStocks
jsoref,2041,Spelling,396,196,33,0,7,2023-06-22T14:12:47+00:00;2024-04-09T22:56:22+00:00;2023-05-21T20:11:41+00:00;2023-05-21T20:11:51+00:00;2023-05-21T20:12:03+00:00;2023-05-21T20:13:19+00:00;2023-05-21T20:13:39+00:00,open,2023-05-21T20:10:48+00:00,,
satyamdev564,2040,Update settings.gradle,184,2,1,0,0,,open,2023-05-20T15:53:18+00:00,,
rpalcolea,2039,Upgrade to Gradle 8.1.1,72,436,22,5,0,,merged,2023-05-20T00:25:12+00:00,2023-05-20 07:39:06+00:00,pandeyabhi1987
michaelnelson123,2033,Fix Exception in HystrixThreadPoolDefault.touchConfig() on Java 11,247,14,1,1,0,,open,2022-11-12T03:12:50+00:00,,
pawel-janowski,2032,2017 | Upgrade of jackson from 2.7.5 to 2.10.5,66,9,1,0,0,,open,2022-10-14T13:45:34+00:00,,
pawel-janowski,2031,2018 | Upgrade of guava from 15.0 to 31.1-jre,66,23,6,0,0,,open,2022-10-14T11:23:51+00:00,,
jsoref,2028,Fix image reference,190,2,1,10,2,2022-06-26T16:35:32+00:00;2022-06-26T17:33:01+00:00,merged,2022-06-21T04:23:53+00:00,2023-05-20 08:27:02+00:00,pandeyabhi1987
cuishuang,2027,fix typo,0,2,1,3,0,,merged,2022-05-10T07:24:51+00:00,2023-05-19 04:40:59+00:00,pandeyabhi1987
bobychaudhary,2023,Fix: Minor typo mistake,55,2,1,4,2,2022-01-09T18:49:14+00:00;2023-05-19T04:41:29+00:00,merged,2021-12-21T04:27:08+00:00,2023-05-19 04:40:10+00:00,pandeyabhi1987
wangqianqianjun,2022,fix thread pool error,216,2,1,0,3,2021-12-14T13:57:52+00:00;2022-04-24T15:14:02+00:00;2022-04-24T15:14:22+00:00,open,2021-12-14T13:55:54+00:00,,
hyukjin-lee,2021,fix typo 'HystrixContextSchedulerAction' class name,140,12,2,4,0,,merged,2021-11-30T09:02:00+00:00,2023-05-20 08:23:58+00:00,pandeyabhi1987
softwareCQT,2016,1.5.x,29,88,13,0,0,,open,2021-05-12T06:41:38+00:00,,
danielchenxs,2012,Fix modify the state of the circuitbreake too early  so that the successful request is missed,202,28,2,1,0,,closed,2021-03-03T12:36:05+00:00,2022-07-09 13:02:25+00:00,
KoxAlen,2011,FRWK-673 Fixed chaning the thead pool sizing for Java9+,0,45,2,1,0,,closed,2021-02-05T08:39:29+00:00,2021-02-05 08:39:53+00:00,KoxAlen
sghill,2006,Update build status location,148,4,1,0,0,,open,2020-11-02T23:53:35+00:00,,
lovingcodesk,1999,hystrixtimer add removeOnCancelPolicy for ScheduledThreadPoolExecutor to void memory leak,50,5,2,0,3,2020-07-04T13:34:11+00:00;2020-09-06T13:23:03+00:00;2020-12-02T09:36:15+00:00,open,2020-07-04T12:40:30+00:00,,
dengliming,1996,Remove deprecated sudo setting.,100,1,1,0,0,,open,2020-05-12T13:06:37+00:00,,
JLLeitschuh,1985,Official Gradle Wrapper Validation Action,56,10,1,0,1,2020-02-04T16:48:06+00:00,open,2020-02-04T16:47:16+00:00,,
JLLeitschuh,1984,Official Gradle Wrapper Validation GitHub Action,56,10,1,0,1,2022-07-11T00:59:23+00:00,open,2020-01-15T21:22:03+00:00,,
Jagden,1976,Fixed possible memory leak in ScheduledThreadPoolExecutor (HystrixTimer.java),375,1,1,0,1,2020-09-06T15:49:13+00:00,open,2019-12-01T12:16:02+00:00,,
nitishgoyal13,1968,Master thread pool,0,172,12,0,0,,open,2019-10-04T05:49:09+00:00,,
lovingcodesk,1962,fix  HystrixTimer when it  initialize ScheduledThreadPoolExecutor does not set RemoveOnCancelPolicy for true,737,1,1,1,1,2019-08-21T11:33:43+00:00,closed,2019-08-21T09:14:51+00:00,2020-07-04 13:24:26+00:00,lovingcodesk
nitishgoyal13,1955,Update thread pool properties,92,0,0,3,0,,closed,2019-07-17T08:59:20+00:00,2019-09-03 15:25:32+00:00,nitishgoyal13
nitishgoyal13,1954,V.1.5.11,0,172,14,1,0,,closed,2019-07-17T07:34:03+00:00,2019-07-17 07:34:32+00:00,nitishgoyal13
nitishgoyal13,1948,Updated metrics and updated thread pool metrics at runtime,0,60,5,2,0,,closed,2019-05-14T02:30:15+00:00,2019-07-17 07:42:01+00:00,nitishgoyal13
nitishgoyal13,1937,Re initialise thread pools settings,0,214,14,2,0,,closed,2019-04-08T04:41:25+00:00,2019-05-14 02:31:00+00:00,nitishgoyal13
nitishgoyal13,1935,Reinitialise thread pools,0,0,0,2,0,,closed,2019-04-04T02:01:27+00:00,2019-04-04 02:03:24+00:00,nitishgoyal13
jkbreuer,1927,Hystrix Configuration Stream Fix,190,3,1,0,0,,open,2019-02-12T23:04:40+00:00,,
ali-jawad,1921,fix metrics publishing by caching publisher command instances by both command group key + command key (1.5.x),279,8,1,3,1,2019-11-04T10:29:58+00:00,open,2019-01-14T11:39:34+00:00,,
ali-jawad,1920,fix metrics publishing by caching publisher command instances by both command group key + command key,279,8,1,2,0,,open,2019-01-14T10:49:46+00:00,,
jhalterman,1915,Add Failsafe as alternative for Hystrix users,293,2,1,0,0,,open,2018-12-20T22:31:09+00:00,,
