title,publish_date,start_date,number_of_commits,number_of_prs
0.1.0,2010-10-13T11:16:40-04:00,2010-09-30T15:48:05-04:00,101,0
0.1.1,2010-10-13T22:46:39-04:00,2010-10-13T11:16:40-04:00,19,0
0.1.2,2010-10-19T11:44:07-04:00,2010-10-13T22:46:39-04:00,34,0
0.2.0,2010-10-25T11:53:32-04:00,2010-10-19T11:44:07-04:00,34,0
0.3.0,2010-11-09T13:39:13-05:00,2010-10-25T11:53:32-04:00,74,0
0.3.1,2010-11-15T10:21:01-05:00,2010-11-09T13:39:13-05:00,9,0
0.3.2,2010-11-23T17:22:42-05:00,2010-11-15T10:21:01-05:00,15,0
0.3.3,2010-12-01T13:27:10-05:00,2010-11-23T17:22:42-05:00,12,0
0.5.0,2011-07-01T13:54:56-04:00,2010-12-01T13:27:10-05:00,211,8
0.5.1,2011-07-05T09:59:15-04:00,2011-07-01T13:54:56-04:00,23,2
0.5.2,2011-07-26T13:31:51-04:00,2011-07-05T09:59:15-04:00,21,7
0.5.3,2011-08-09T10:39:09-04:00,2011-07-26T13:31:51-04:00,28,5
0.9.0,2012-01-30T16:24:40-05:00,2011-08-09T10:39:09-04:00,281,51
0.9.1,2012-02-02T16:55:12-05:00,2012-01-30T16:24:40-05:00,37,8
0.9.2,2012-03-21T14:55:29-04:00,2012-02-02T16:55:12-05:00,126,36
0.9.9,2012-12-13T17:44:31-05:00,2012-03-21T14:55:29-04:00,598,149
0.9.10,2013-01-16T07:31:47+11:00,2012-12-13T17:44:31-05:00,227,53
1.0.0,2013-03-20T20:13:55+08:00,2013-01-16T07:31:47+11:00,197,42
1.1.0,2013-10-10T21:57:30-03:00,2013-03-20T20:13:55+08:00,183,52
1.1.1,2014-02-13T14:57:41-05:00,2013-10-10T21:57:30-03:00,154,40
1.1.2,2014-02-20T16:34:01-05:00,2014-02-13T14:57:41-05:00,17,4
1.2.0,2015-05-13T18:05:59-04:00,2014-02-20T16:34:01-05:00,556,142
1.2.1,2015-06-04T18:09:12-04:00,2015-05-13T18:05:59-04:00,78,24
1.2.2,2015-08-19T15:03:44-04:00,2015-06-04T18:09:12-04:00,75,25
1.2.3,2015-09-03T11:56:05-04:00,2015-08-19T15:03:44-04:00,24,6
v1.3.0,2016-03-03T21:54:25-05:00,2015-09-03T11:56:05-04:00,150,62
1.3.0,2016-03-03T22:01:23-05:00,2016-03-03T21:54:25-05:00,1,0
1.3.1,2016-03-03T22:06:21-05:00,2016-03-03T22:01:23-05:00,1,0
1.3.2,2016-03-12T12:09:37-05:00,2016-03-03T22:06:21-05:00,5,2
1.3.3,2016-04-05T13:45:00-04:00,2016-03-12T12:09:37-05:00,10,3
1.4.0,2019-02-19T10:29:40-08:00,2016-04-05T13:45:00-04:00,66,17
1.4.1,2022-02-26T01:31:21+01:00,2019-02-19T10:29:40-08:00,81,7
1.5.0,2023-07-28T18:11:07+02:00,2022-02-26T01:31:21+01:00,48,12
1.6.0,2024-02-05T22:22:36+01:00,2023-07-28T18:11:07+02:00,34,4
1.6.1,2025-04-01T13:09:53+02:00,2024-02-05T22:22:36+01:00,16,3
