title,publish_date,start_date,number_of_commits,number_of_prs
1.0a1,2010-11-05T04:01:19-04:00,2008-07-04T06:30:02+00:00,2338,0
0.2,2010-11-09T12:48:58-05:00,2010-11-05T04:01:19-04:00,37,0
1.0a2,2010-11-09T12:48:58-05:00,2010-11-09T12:48:58-05:00,0,0
1.0a3,2010-11-16T15:51:22-05:00,2010-11-09T12:48:58-05:00,53,0
1.0a4,2010-11-21T00:39:22-05:00,2010-11-16T15:51:22-05:00,61,0
1.0a5,2010-12-15T02:24:59-05:00,2010-11-21T00:39:22-05:00,288,0
1.0a6,2010-12-15T19:43:35-05:00,2010-12-15T02:24:59-05:00,12,0
1.0a7,2010-12-20T11:02:07-05:00,2010-12-15T19:43:35-05:00,76,0
1.0a8,2010-12-27T17:25:18-05:00,2010-12-20T11:02:07-05:00,81,0
1.0a9,2011-01-08T00:46:32-05:00,2010-12-27T17:25:18-05:00,193,0
1.0a10,2011-01-18T15:14:40-05:00,2011-01-08T00:46:32-05:00,68,0
1.0b1,2011-01-21T21:56:04-05:00,2011-01-18T15:14:40-05:00,109,0
1.0b2,2011-01-24T22:23:06-05:00,2011-01-21T21:56:04-05:00,13,0
1.0b3,2011-01-28T11:12:04-05:00,2011-01-24T22:23:06-05:00,29,0
1.0,2011-01-30T19:06:35-05:00,2011-01-28T11:12:04-05:00,64,0
1.0-book-proof1,2011-02-04T08:58:21-05:00,2011-01-30T19:06:35-05:00,9,0
1.0-book-proof2,2011-02-05T15:15:15-05:00,2011-02-04T08:58:21-05:00,13,0
1.1a1,2011-06-20T01:31:27-04:00,2011-02-05T15:15:15-05:00,372,16
1.1a2,2011-06-22T19:39:45-04:00,2011-06-20T01:31:27-04:00,19,1
1.1a3,2011-06-26T04:00:52-04:00,2011-06-22T19:39:45-04:00,10,1
1.1a4,2011-07-01T05:02:38-04:00,2011-06-26T04:00:52-04:00,21,1
1.1b1,2011-07-10T01:13:44-04:00,2011-07-01T05:02:38-04:00,46,2
1.1b2,2011-07-13T03:34:05-04:00,2011-07-10T01:13:44-04:00,41,2
1.1b3,2011-07-15T10:40:35-04:00,2011-07-13T03:34:05-04:00,45,2
1.1b4,2011-07-18T03:01:17-04:00,2011-07-15T10:40:35-04:00,34,1
1.1,2011-07-21T23:48:03-04:00,2011-07-18T03:01:17-04:00,21,0
1.0.1,2011-08-13T02:16:40-04:00,2011-07-21T23:48:03-04:00,3,0
1.1.1,2011-08-13T02:38:42-04:00,2011-08-13T02:16:40-04:00,625,26
1.1.2,2011-08-17T13:02:02-04:00,2011-08-13T02:38:42-04:00,4,0
1.2a1,2011-08-24T00:32:35-04:00,2011-08-17T13:02:02-04:00,287,5
1.2a2,2011-08-27T04:23:45-04:00,2011-08-24T00:32:35-04:00,27,1
1.2a3,2011-08-29T11:46:41-04:00,2011-08-27T04:23:45-04:00,14,0
1.2a4,2011-09-02T12:52:53-04:00,2011-08-29T11:46:41-04:00,28,0
1.2a5,2011-09-04T01:40:44-04:00,2011-09-02T12:52:53-04:00,18,1
1.2a6,2011-09-06T23:15:16-04:00,2011-09-04T01:40:44-04:00,46,0
1.2b1,2011-09-08T04:00:12-04:00,2011-09-06T23:15:16-04:00,38,0
1.2b2,2011-09-08T17:45:20-04:00,2011-09-08T04:00:12-04:00,14,2
1.2b3,2011-09-11T01:30:37-04:00,2011-09-08T17:45:20-04:00,30,7
1.2,2011-09-12T23:16:37-04:00,2011-09-11T01:30:37-04:00,15,1
1.2.1,2011-09-28T06:08:42-04:00,2011-09-12T23:16:37-04:00,34,5
