pull_number,release_tag
15,v0.0.12
14,v0.0.12
12,v0.0.12
11,v0.0.12
10,v0.0.12
9,v0.0.12
7,v0.0.12
6,v0.0.12
16,v0.0.13
17,v0.0.14
18,v0.0.15
19,v0.0.16
20,v0.0.17
21,v0.1.0
23,v0.1.1
28,v0.1.3
32,v0.1.5
33,v0.1.6
35,v0.2.0
41,v0.2.2
43,v0.2.2
47,v0.2.3
46,v0.2.3
48,v0.2.4
50,v0.2.5
49,v0.2.5
52,v0.2.6
54,v0.2.7
56,v0.2.8
57,v0.2.8
58,v0.2.9
59,v0.2.10
62,v0.2.11
65,v0.2.14
69,v0.2.15
68,v0.2.15
66,v0.2.15
70,v0.2.16
71,v0.2.17
73,v0.2.17
72,v0.2.17
74,v0.2.18
79,v0.2.19
82,v0.2.19
80,v0.2.19
77,v0.2.19
84,v0.2.20
83,v0.2.20
88,v0.2.23
89,v0.2.23
87,v0.2.23
95,v0.2.25
93,v0.2.25
100,v0.2.28
98,v0.3.0
101,v0.3.0
92,v0.3.1
103,v0.3.2
105,v0.4.0
106,v0.4.0
109,v0.4.1
108,v0.4.1
107,v0.4.1
111,v0.4.2
110,v0.4.2
116,v0.4.3
115,v0.4.3
114,v0.4.3
113,v0.4.3
112,v0.4.3
118,v0.4.4
117,v0.4.4
122,v0.4.5
121,v0.4.5
120,v0.4.5
119,v0.4.5
123,v0.4.6
124,v0.4.8
126,v0.4.9
127,v0.4.10
129,v0.4.12
133,v0.4.13
136,v0.5.1
137,v0.5.2
138,v0.5.3
141,v0.5.4
140,v0.5.4
139,v0.5.4
142,v0.5.5
144,v0.5.6
143,v0.5.6
146,v0.5.7
147,v0.5.8
148,v0.6.0
130,v0.6.1
151,v0.6.2
152,v0.6.3
153,v0.6.3
154,v0.6.4
156,v0.6.5
157,v0.6.6
163,v0.6.8
165,v0.6.9
168,v0.6.11
169,v0.6.12
170,v0.6.13
172,v0.6.14
173,v0.6.15
188,v0.6.17
186,v0.6.17
185,v0.6.17
184,v0.6.17
183,v0.6.17
182,v0.6.17
181,v0.6.17
180,v0.6.17
179,v0.6.17
178,v0.6.17
177,v0.6.17
190,v0.6.18
189,v0.6.18
192,v0.6.19
193,v0.6.20
198,v0.6.21
197,v0.6.21
195,v0.6.21
194,v0.6.21
200,v0.6.22
202,v0.6.22
201,v0.6.22
203,v0.6.23
204,v0.6.23
206,v0.6.24
205,v0.6.24
207,v0.6.25
211,v0.6.26
210,v0.6.26
213,v0.6.27
212,v0.6.27
215,v0.6.28
214,v0.6.28
216,v0.6.29
218,v0.6.30
219,v0.7.0
222,v0.7.3
223,v0.7.4
226,v0.7.6
227,v0.7.7
228,v0.7.8
231,v0.7.10
233,v0.7.11
237,v0.7.12
240,v0.7.13
241,v0.8.0
244,v0.9.0
243,v0.9.0
247,v0.9.4
256,v0.9.5
255,v0.9.5
254,v0.9.5
250,v0.9.5
251,v0.9.5
252,v0.9.5
253,v0.9.5
249,v0.9.5
248,v0.9.5
258,v0.9.6
261,v0.9.7
260,v0.9.7
259,v0.9.7
257,v0.9.7
262,v0.9.8
266,v0.10.0
272,v0.10.1
271,v0.10.1
270,v0.10.1
273,v0.10.2
274,v0.10.3
275,v0.10.4
279,v0.10.5
278,v0.10.5
280,v0.10.6
282,v0.10.7
281,v0.10.8
283,v0.10.8
284,v0.10.9
285,v0.10.10
288,v0.10.12
290,v0.10.13
293,v0.11.0
294,v0.11.1
295,v0.11.2
298,v0.11.4
297,v0.11.4
300,v0.11.5
301,v0.12.0
302,v0.13.0
303,v0.13.1
304,v0.13.2
308,v0.13.3
307,v0.13.3
306,v0.13.3
311,v0.13.4
310,v0.13.4
315,v0.13.5
312,v0.13.5
316,v0.13.6
318,v0.13.7
317,v0.13.7
323,v0.14.0
322,v0.14.0
321,v0.14.0
325,v0.14.2
330,v0.14.3
326,v0.14.3
334,v0.14.4
331,v0.14.4
338,v0.15.0
340,v0.15.1
339,v0.15.1
343,v0.15.2
344,v0.15.2
349,v0.15.3
347,v0.15.3
365,v0.15.4
364,v0.15.4
363,v0.15.4
