title,publish_date,start_date,number_of_commits,number_of_prs
v0.0.12,2013-03-28T14:33:33+09:00,2013-03-24T14:53:15+09:00,59,8
v0.0.13,2013-03-28T23:05:17+09:00,2013-03-28T14:33:33+09:00,3,1
v0.0.14,2013-03-29T09:52:02+09:00,2013-03-28T23:05:17+09:00,5,1
v0.0.15,2013-03-29T15:13:15+09:00,2013-03-29T09:52:02+09:00,3,1
v0.0.16,2013-03-29T17:15:54+09:00,2013-03-29T15:13:15+09:00,5,1
v0.0.17,2013-03-29T17:45:00+09:00,2013-03-29T17:15:54+09:00,3,1
v0.0.18,2013-03-30T16:11:45+09:00,2013-03-29T17:45:00+09:00,14,0
v0.0.19,2013-03-30T16:14:02+09:00,2013-03-30T16:11:45+09:00,2,0
v0.1.0,2013-03-31T13:03:34+09:00,2013-03-30T16:14:02+09:00,13,1
v0.1.1,2013-04-02T00:32:55+09:00,2013-03-31T13:03:34+09:00,3,1
v0.1.2,2013-04-02T23:51:14+09:00,2013-04-02T00:32:55+09:00,2,0
v0.1.3,2013-04-03T13:48:44+09:00,2013-04-02T23:51:14+09:00,4,1
v0.1.4,2013-04-03T18:21:40+09:00,2013-04-03T13:48:44+09:00,4,0
v0.1.5,2013-04-04T00:07:14+09:00,2013-04-03T18:21:40+09:00,5,1
v0.1.6,2013-04-04T11:08:00+09:00,2013-04-04T00:07:14+09:00,3,1
v0.1.7,2013-04-05T16:51:01+09:00,2013-04-04T11:08:00+09:00,4,0
v0.2.0,2013-04-06T13:03:49+09:00,2013-04-05T16:51:01+09:00,16,1
v0.2.1,2013-04-08T10:36:45+09:00,2013-04-06T13:03:49+09:00,9,0
v0.2.2,2013-04-09T12:08:29+09:00,2013-04-08T10:36:45+09:00,10,2
v0.2.3,2013-04-09T15:22:34+09:00,2013-04-09T12:08:29+09:00,15,2
v0.2.4,2013-04-09T23:50:12+09:00,2013-04-09T15:22:34+09:00,7,1
v0.2.5,2013-04-10T22:11:48+09:00,2013-04-09T23:50:12+09:00,9,2
v0.2.6,2013-04-11T09:46:08+09:00,2013-04-10T22:11:48+09:00,3,1
v0.2.7,2013-04-12T15:10:44+09:00,2013-04-11T09:46:08+09:00,5,1
