title,publish_date,start_date,number_of_commits,number_of_prs
1.0a,2008-10-06T02:22:57+00:00,2008-07-20T14:55:13+00:00,40,0
1.0b,2008-10-24T14:24:42+00:00,2008-10-06T02:22:57+00:00,69,0
1.0.0,2008-12-03T19:40:41+00:00,2008-10-24T14:24:42+00:00,209,0
1.0.1,2009-01-04T23:35:13+00:00,2008-12-03T19:40:41+00:00,117,0
1.0.2,2009-02-01T02:04:17+00:00,2009-01-04T23:35:13+00:00,120,0
1.0.3,2009-03-01T15:11:46+00:00,2009-02-01T02:04:17+00:00,149,0
1.0.4,2009-04-05T21:09:03+00:00,2009-03-01T15:11:46+00:00,135,0
1.0.5,2009-05-10T18:36:01+00:00,2009-04-05T21:09:03+00:00,91,0
1.0.6,2009-06-07T13:03:14+00:00,2009-05-10T18:36:01+00:00,74,0
1.0.7,2009-07-05T04:54:10+00:00,2009-06-07T13:03:14+00:00,56,0
1.0.8,2009-08-09T04:55:50+00:00,2009-07-05T04:54:10+00:00,71,0
1.0.9,2009-09-06T01:06:59+00:00,2009-08-09T04:55:50+00:00,65,0
1.1a,2009-09-30T23:07:59+00:00,2009-09-06T01:06:59+00:00,200,0
1.1b,2009-11-01T18:05:47+00:00,2009-09-30T23:07:59+00:00,29,0
1.0.10,2009-12-11T15:30:33+00:00,2009-11-01T18:05:47+00:00,964,0
1.0.11,2009-12-13T04:37:05+00:00,2009-12-11T15:30:33+00:00,1,0
1.0.12,2010-03-14T03:23:18+00:00,2009-12-13T04:37:05+00:00,31,0
1.1.0,2010-03-14T04:27:02+00:00,2010-03-14T03:23:18+00:00,550,0
1.1.1,2010-03-14T04:27:29+00:00,2010-03-14T04:27:02+00:00,1,0
1.1.2,2010-05-02T02:16:42+00:00,2010-03-14T04:27:29+00:00,174,0
1.1.3,2010-07-05T01:45:33+00:00,2010-05-02T02:16:42+00:00,159,0
1.1.4,2010-09-05T13:05:24+00:00,2010-07-05T01:45:33+00:00,181,0
1.1.5,2010-11-14T14:23:47+00:00,2010-09-05T13:05:24+00:00,223,0
1.1.6,2011-01-17T13:09:08+00:00,2010-11-14T14:23:47+00:00,224,0
1.1.7,2011-03-27T01:39:25+00:00,2011-01-17T13:09:08+00:00,254,0
1.1.8,2011-06-26T17:59:14+00:00,2011-03-27T01:39:25+00:00,188,0
1.1.9,2012-01-01T03:05:53+00:00,2011-06-26T17:59:14+00:00,201,0
1.1.10,2012-02-13T01:32:03+00:00,2012-01-01T03:05:53+00:00,39,0
1.1.11,2012-07-29T20:55:03-04:00,2012-02-13T01:32:03+00:00,908,211
1.1.12,2012-08-19T08:27:23-04:00,2012-07-29T20:55:03-04:00,218,51
1.1.13,2012-12-30T13:45:45-05:00,2012-08-19T08:27:23-04:00,931,163
1.1.14,2013-08-11T20:12:08-04:00,2012-12-30T13:45:45-05:00,1115,211
1.1.15,2014-06-29T20:14:27-04:00,2013-08-11T20:12:08-04:00,1,0
1.1.16,2014-12-21T14:30:17-05:00,2014-06-29T20:14:27-04:00,658,136
1.1.17,2016-01-13T17:23:58+01:00,2014-12-21T14:30:17-05:00,138,22
1.1.18,2017-04-19T13:51:43+02:00,2016-01-13T17:23:58+01:00,61,6
1.1.19,2017-06-08T09:19:07+02:00,2017-04-19T13:51:43+02:00,18,0
1.1.20,2018-07-06T19:18:25+02:00,2017-06-08T09:19:07+02:00,24,0
1.1.21,2019-04-02T09:32:41+02:00,2018-07-06T19:18:25+02:00,16,0
1.1.22,2020-01-16T23:29:49+01:00,2019-04-02T09:32:41+02:00,20,0
1.1.23,2020-12-02T17:53:51+01:00,2020-01-16T23:29:49+01:00,98,5
1.1.24,2021-06-07T15:16:45+02:00,2020-12-02T17:53:51+01:00,41,6
1.1.25,2021-12-13T16:04:45+01:00,2021-06-07T15:16:45+02:00,21,6
1.1.26,2022-09-30T13:46:30+02:00,2021-12-13T16:04:45+01:00,125,44
1.1.27,2022-11-21T14:50:13+01:00,2022-09-30T13:46:30+02:00,12,2
1.1.28,2023-02-28T10:25:13+01:00,2022-11-21T14:50:13+01:00,69,9
1.1.29,2023-11-14T10:26:00+01:00,2023-02-28T10:25:13+01:00,43,6
1.1.30,2024-10-14T13:01:44+02:00,2023-11-14T10:26:00+01:00,52,10
1.1.31,2025-04-10T15:57:47+02:00,2024-10-14T13:01:44+02:00,19,4
1.1.32,2025-12-23T10:54:33+01:00,2025-04-10T15:57:47+02:00,37,5
