author,pull_number,title,description,churn,changed_files,activities,comments,comment_dates,state,creation_date,close_date,closed_by,merged_at
mizzy,625,Add stale workflow,0,16,1,4,0,,merged,2025-04-24T21:58:56+00:00,2025-04-24 22:01:47+00:00,mizzy,2025-04-24 22:01:47+00:00
takumin,624,feat: implemented `is_system_group?` and `is_system_user?`,95,16,4,3,3,2025-04-24T18:02:03+00:00;2025-04-24T21:55:40+00:00;2025-04-24T21:57:41+00:00,merged,2025-04-24T18:00:52+00:00,2025-04-24 21:55:44+00:00,mizzy,2025-04-24 21:55:44+00:00
takumin,623,ci: feat github actions,112,44,1,3,2,2025-04-24T21:51:13+00:00;2025-04-24T21:57:42+00:00,merged,2025-04-24T16:56:20+00:00,2025-04-24 21:51:16+00:00,mizzy,2025-04-24 21:51:16+00:00
gemmaro,622,Use newer RSpec syntax,0,1304,119,2,0,,closed,2025-01-15T10:54:42+00:00,2025-05-02 02:07:16+00:00,github-actions[bot],
gemmaro,621,Use the newer ERB.new usage for Ruby v2.6 or higher,1037,7,1,4,2,2023-09-02T01:44:39+00:00;2023-09-02T01:46:24+00:00,merged,2023-09-01T13:49:53+00:00,2023-09-02 01:44:46+00:00,mizzy,2023-09-02 01:44:46+00:00
hana-da,620,Support Psych 4.0 (Ruby 3.1) or later,283,14,2,3,2,2023-02-16T08:50:52+00:00;2023-02-16T08:52:55+00:00,merged,2023-02-03T04:57:16+00:00,2023-02-16 08:50:56+00:00,mizzy,2023-02-16 08:50:56+00:00
hana-da,619,Relax rake dependency pinning,301,9,1,3,2,2023-02-03T04:55:20+00:00;2023-02-16T08:52:56+00:00,merged,2023-02-03T04:51:33+00:00,2023-02-03 04:55:25+00:00,mizzy,2023-02-03 04:55:25+00:00
chaaaaarlotte,618,Replace `Dir.exists?`/`File.exists?` with `Dir.exist?`/`File.exist?`,124,14,2,4,2,2022-12-29T03:12:03+00:00;2022-12-29T03:13:37+00:00,merged,2022-12-28T21:06:54+00:00,2022-12-29 03:12:07+00:00,mizzy,2022-12-29 03:12:07+00:00
ekohl,617,Provide user uid and group gid as properties,167,18,4,4,2,2022-02-02T22:35:49+00:00;2022-02-02T22:38:49+00:00,merged,2022-02-02T15:26:08+00:00,2022-02-02 22:35:53+00:00,mizzy,2022-02-02 22:35:53+00:00
ekohl,616,Add a command method in Command,110,7,1,4,2,2021-06-24T11:37:56+00:00;2021-06-24T11:42:18+00:00,merged,2021-06-24T11:16:25+00:00,2021-06-24 11:38:00+00:00,mizzy,2021-06-24 11:37:59+00:00
