title,publish_date,start_date,number_of_commits,number_of_prs
v0.2.0,2010-11-15T16:33:24-08:00,2010-10-28T11:07:00-07:00,76,0
v0.2.1,2010-11-17T10:33:19-08:00,2010-11-15T16:33:24-08:00,2,0
v0.2.2,2011-02-15T17:24:15-08:00,2010-11-17T10:33:19-08:00,44,0
v0.2.3,2011-02-24T16:44:54-08:00,2011-02-15T17:24:15-08:00,4,0
v0.2.4,2011-03-09T11:21:55-08:00,2011-02-24T16:44:54-08:00,24,0
v0.2.5,2011-04-29T13:44:51-07:00,2011-03-09T11:21:55-08:00,28,0
v0.2.6,2011-05-24T14:58:36-07:00,2011-04-29T13:44:51-07:00,39,2
v0.2.7,2011-07-12T17:14:01-07:00,2011-05-24T14:58:36-07:00,210,23
v0.2.8,2011-09-09T11:53:50-07:00,2011-07-12T17:14:01-07:00,19,4
v0.3.0,2011-12-06T12:42:35-08:00,2011-09-09T11:53:50-07:00,757,43
v0.3.1,2011-12-19T18:18:37-08:00,2011-12-06T12:42:35-08:00,27,2
v0.3.2,2012-02-22T13:54:04-08:00,2011-12-19T18:18:37-08:00,184,22
v0.3.3,2012-04-04T12:15:01-07:00,2012-02-22T13:54:04-08:00,145,14
v0.3.3.1,2012-04-04T18:37:45-07:00,2012-04-04T12:15:01-07:00,3,0
v0.3.3.2,2012-04-10T17:30:52-07:00,2012-04-04T18:37:45-07:00,33,4
v0.3.4,2012-06-11T16:50:46-07:00,2012-04-10T17:30:52-07:00,90,11
v0.3.4.1,2012-06-13T12:10:27-07:00,2012-06-11T16:50:46-07:00,5,1
v0.3.5,2012-08-28T17:33:00-07:00,2012-06-13T12:10:27-07:00,97,14
v0.4.0,2013-04-30T21:46:09-07:00,2012-08-28T17:33:00-07:00,568,49
v0.4.1,2013-09-16T21:46:37-07:00,2013-04-30T21:46:09-07:00,343,40
v0.4.2,2013-11-27T19:30:23-08:00,2013-09-16T21:46:37-07:00,157,20
v0.4.3,2015-04-08T09:58:18-07:00,2013-11-27T19:30:23-08:00,300,63
v0.4.4,2015-04-21T17:24:33-07:00,2015-04-08T09:58:18-07:00,34,1
v0.4.5,2015-07-28T15:23:33-07:00,2015-04-21T17:24:33-07:00,197,6
v0.4.6,2015-11-09T11:13:44-08:00,2015-07-28T15:23:33-07:00,53,3
v0.5.0,2016-03-28T09:47:44-07:00,2015-11-09T11:13:44-08:00,1224,83
v0.5.1,2016-04-29T16:02:22-07:00,2016-03-28T09:47:44-07:00,35,5
v0.5.2,2016-05-23T16:17:27-07:00,2016-04-29T16:02:22-07:00,162,9
v0.5.3,2016-07-15T18:36:26-07:00,2016-05-23T16:17:27-07:00,132,9
v0.5.4,2016-08-26T19:08:41-07:00,2016-07-15T18:36:26-07:00,95,12
v0.5.5,2016-09-05T15:35:33-07:00,2016-08-26T19:08:41-07:00,20,4
v0.5.6,2016-09-12T14:29:13-07:00,2016-09-05T15:35:33-07:00,26,3
v0.5.7,2016-12-19T14:03:05-08:00,2016-09-12T14:29:13-07:00,363,28
v0.5.8,2017-02-01T13:22:19-08:00,2016-12-19T14:03:05-08:00,99,10
v0.5.9,2017-03-20T13:11:12-07:00,2017-02-01T13:22:19-08:00,41,6
v0.5.10,2017-05-12T13:45:45-07:00,2017-03-20T13:11:12-07:00,21,3
v0.5.11,2017-08-28T18:00:38-07:00,2017-05-12T13:45:45-07:00,17,1
v0.6.0,2017-11-01T11:35:05-07:00,2017-08-28T18:00:38-07:00,723,45
v0.6.1,2017-11-27T14:28:06-08:00,2017-11-01T11:35:05-07:00,25,2
v0.6.2,2018-03-23T16:54:22-07:00,2017-11-27T14:28:06-08:00,143,10
v0.6.3,2018-05-31T16:06:00-07:00,2018-03-23T16:54:22-07:00,242,24
v0.5.12,2018-07-27T15:23:05-07:00,2018-05-31T16:06:00-07:00,41,4
v0.6.4,2018-08-10T21:30:06-07:00,2018-07-27T15:23:05-07:00,1191,84
v0.6.5,2018-09-07T15:49:57-07:00,2018-08-10T21:30:06-07:00,105,9
v0.6.6,2018-11-05T16:30:28-08:00,2018-09-07T15:49:57-07:00,116,12
v0.6.7,2019-01-16T15:22:25-08:00,2018-11-05T16:30:28-08:00,212,24
v0.6.8,2019-04-25T13:44:34-07:00,2019-01-16T15:22:25-08:00,513,47
v0.6.9,2019-05-29T15:33:25-07:00,2019-04-25T13:44:34-07:00,63,7
v0.6.10,2019-07-22T17:01:13-07:00,2019-05-29T15:33:25-07:00,60,7
v0.6.11,2019-10-04T16:10:14-07:00,2019-07-22T17:01:13-07:00,111,8
v0.6.12,2019-10-18T15:50:46-07:00,2019-10-04T16:10:14-07:00,26,2
v0.7.0,2019-11-22T11:34:56-08:00,2019-10-18T15:50:46-07:00,138,8
v0.7.1,2019-12-27T11:45:45-08:00,2019-11-22T11:34:56-08:00,22,4
v0.7.2,2020-04-13T14:11:36-07:00,2019-12-27T11:45:45-08:00,90,7
v0.7.3,2020-06-05T18:50:25-07:00,2020-04-13T14:11:36-07:00,78,6
v0.7.4,2020-09-17T15:12:07-07:00,2020-06-05T18:50:25-07:00,128,6
