,X.,project,language,pull_id,pull_number,commits_per_pr,changed_files,churn,comments,comments_interval,merge_workload,description_length,contributor_experience,queue_rank,contributor_integration,stacktrace_attached,activities,merge_time,delivery_time,practice
1,1,Yelp/mrjob,Python,2964507958,2226,1,1,8,0,,,0,,,,,,,,
2,2,Yelp/mrjob,Python,2395254632,2225,5,3,12,3,,,96,,,,,,,,
3,3,Yelp/mrjob,Python,1073322549,2220,2,1,21,0,,,1075,,,,,,,,
4,4,Yelp/mrjob,Python,996346041,2218,1,3,6,0,,,366,,,,,,,,
5,5,Yelp/mrjob,Python,887630941,2215,7,4,51,0,,,827,,,,,,,,
6,6,Yelp/mrjob,Python,775453203,2214,1,1,4,0,,,96,,,,,,,,
7,7,Yelp/mrjob,Python,606152448,2209,1,1,3,0,,,154,,,,,,,,
8,8,Yelp/mrjob,Python,606106958,2208,1,1,28,3,,,450,,,,,,,,
9,9,Yelp/mrjob,Python,488286310,2203,12,16,490,0,,,195,,,,,,,,
10,10,Yelp/mrjob,Python,486131058,2202,17,6,948,0,,,1548,,,,,,,,
11,11,Yelp/mrjob,Python,474332728,2197,15,6,450,1,,,198,,,,,,,,
12,12,Yelp/mrjob,Python,458624904,2189,38,10,830,2,,,879,,,,,,,,
13,13,Yelp/mrjob,Python,455639944,2188,1,46,1464,1,,,418,,,,,,,,
14,14,Yelp/mrjob,Python,453764065,2187,14,7,315,2,,,418,,,,,,,,
15,15,Yelp/mrjob,Python,441705418,2184,37,17,629,1,,,399,,,,,,,,
16,16,Yelp/mrjob,Python,438351979,2183,1,1,3,1,,,229,,,,,,,,
17,17,Yelp/mrjob,Python,424117555,2177,9,3,184,0,,,552,,,,,,,,
18,18,Yelp/mrjob,Python,423629454,2175,1,1,2,0,,,427,,,,,,,,
19,19,Yelp/mrjob,Python,422341692,2174,39,10,1672,0,,,1457,,,,,,,,
20,20,Yelp/mrjob,Python,422150193,2172,11,2,14,0,,,0,,,,,,,,
21,21,Yelp/mrjob,Python,422054068,2171,4,3,14,0,,,0,,,,,,,,
22,22,Yelp/mrjob,Python,421835061,2170,5,4,16,0,,,0,,,,,,,,
23,23,Yelp/mrjob,Python,418762354,2169,22,9,904,1,,,470,,,,,,,,
24,24,Yelp/mrjob,Python,407465680,2167,28,10,1099,1,,,594,,,,,,,,
25,25,Yelp/mrjob,Python,406439553,2166,4,2,6,0,,,21,,,,,,,,
26,26,Yelp/mrjob,Python,406437982,2165,2,3,56,0,,,21,,,,,,,,
27,27,Yelp/mrjob,Python,405405086,2163,12,7,429,2,,,1368,,,,,,,,
28,28,Yelp/mrjob,Python,402261871,2158,18,21,185,1,,,303,,,,,,,,
29,29,Yelp/mrjob,Python,402256822,2157,4,5,72,1,,,295,,,,,,,,
30,30,Yelp/mrjob,Python,401031508,2156,5,5,28,1,,,289,,,,,,,,
31,31,Yelp/mrjob,Python,397258326,2155,2,3,33,1,,,277,,,,,,,,
32,32,Yelp/mrjob,Python,392702709,2152,11,6,79,1,,,303,,,,,,,,
33,33,Yelp/mrjob,Python,358293433,2143,26,11,201,1,,,208,,,,,,,,
34,34,Yelp/mrjob,Python,357086128,2142,2,2,4,0,,,0,,,,,,,,
35,35,Yelp/mrjob,Python,356473623,2141,4,2,102,0,,,239,,,,,,,,
36,36,Yelp/mrjob,Python,354864109,2137,43,22,762,0,,,386,,,,,,,,
37,37,Yelp/mrjob,Python,354821666,2135,4,8,43,1,,,65,,,,,,,,
38,38,Yelp/mrjob,Python,353794278,2134,2,2,26,0,,,12,,,,,,,,
39,39,Yelp/mrjob,Python,353164586,2133,1,1,2,1,,,14,,,,,,,,
40,40,Yelp/mrjob,Python,340723502,2128,2,5,140,1,,,118,,,,,,,,
41,41,Yelp/mrjob,Python,340714591,2127,39,60,2266,0,,,127,,,,,,,,
42,42,Yelp/mrjob,Python,336912503,2125,8,9,199,0,,,498,,,,,,,,
43,43,Yelp/mrjob,Python,332878974,2119,4,2,27,0,,,236,,,,,,,,
44,44,Yelp/mrjob,Python,332697594,2118,6,12,1910,0,,,347,,,,,,,,
45,45,Yelp/mrjob,Python,332645077,2117,2,7,89,0,,,136,,,,,,,,
