project,Cliff delta (magnitude): delivery delay,Cliff delta (estimate): delivery delay,MWW test (p-value): delivery delay,Cliff delta (magnitude): merge time,Cliff delta (estimate): merge time,MWW test (p-value): merge time,Cliff delta (magnitude): PR lifetime,Cliff delta (estimate): PR lifetime,MWW test (p-value): PR lifetime
AnalyticalGraphicsInc/cesium,large,-0.5293303278,0.0,negligible,-0.0174437798,0.6228958061,large,-0.5104666229,0.0
BabylonJS/Babylon.js,small,0.2672824263,7e-10,medium,-0.4568536229,0.0,small,0.2652768872,9e-10
HabitRPG/habitica,medium,-0.3499433879,0.0,small,0.2356960992,5.801e-07,medium,-0.3321378692,0.0
Leaflet/Leaflet,medium,0.343150793,0.0,negligible,-0.0674623215,0.0848027177,medium,0.3357452853,0.0
Netflix/Hystrix,small,0.1937355351,0.0004507889,negligible,0.1446175017,0.008733469,small,0.1826171264,0.0009438574
Pylons/pyramid,medium,0.3396300598,1e-10,small,-0.2621156033,2.937e-07,medium,0.3380513416,1e-10
ReactiveX/RxJava,large,0.542993892,0.0,small,0.2047587186,0.0,large,0.5739503973,0.0
TelescopeJS/Telescope,small,-0.1953991635,0.0036489947,medium,0.4121203855,9e-10,small,-0.1491634843,0.0264876871
Theano/Theano,negligible,-0.0689814304,0.0100709683,medium,0.3440618229,0.0,negligible,-0.0497959134,0.0632187612
TryGhost/Ghost,negligible,0.1329133743,0.000182822,small,0.2641523025,0.0,small,0.2000602742,1.78e-08
Yelp/mrjob,negligible,0.0904588113,0.1103222966,negligible,-0.123848627,0.0287876856,negligible,0.0794447341,0.1608313281
aframevr/aframe,large,-0.7366332233,0.0,negligible,-0.1089662179,0.0852944709,large,-0.7362839726,0.0
alohaeditor/Aloha-Editor,large,-0.5284137673,0.0,small,0.2674897119,7.541e-07,large,-0.5173213618,0.0
androidannotations/androidannotations,negligible,0.0680291285,0.2323135146,medium,0.3824054498,0.0,negligible,0.0502701433,0.3775013149
andypetrella/spark-notebook,large,-0.5983216783,0.0,small,0.3112820513,3.0004e-06,large,-0.6020512821,0.0
ansible/ansible,large,0.784628363,0.0,negligible,-0.0714924109,9.13257e-05,large,0.7325032028,0.0
apache/incubator-airflow,medium,0.3959090909,0.0,small,0.2293706294,2.48e-06,medium,0.4235664336,0.0
apereo/cas,medium,-0.360493811,0.0,negligible,-0.0943372761,0.0333768323,medium,-0.3387095718,0.0
appcelerator/titanium_mobile,negligible,0.0649332167,0.0003245308,negligible,-0.144157841,0.0,negligible,0.051967511,0.0040138922
bcit-ci/CodeIgniter,large,-0.9631459775,0.0,negligible,-0.0440034027,0.2948184633,large,-0.9696010608,0.0
