title,publish_date,start_date,number_of_commits,number_of_prs
3.0.0,2011-03-27T17:37:36-06:00,2011-03-27T13:46:21-06:00,6,0
3.1.0,2011-04-01T14:42:22-06:00,2011-03-27T17:37:36-06:00,12,0
3.1.1,2011-04-04T21:12:43-06:00,2011-04-01T14:42:22-06:00,5,0
3.2.0,2011-04-15T11:05:27-06:00,2011-04-04T21:12:43-06:00,2,0
3.2.1,2011-04-20T10:14:36-06:00,2011-04-15T11:05:27-06:00,1,0
3.2.2,2011-04-25T22:41:06-06:00,2011-04-20T10:14:36-06:00,8,0
3.2.3,2011-05-10T19:39:01-06:00,2011-04-25T22:41:06-06:00,22,0
3.2.4,2011-05-19T19:13:46-06:00,2011-05-10T19:39:01-06:00,8,2
3.5.0,2011-07-30T13:41:24-06:00,2011-05-19T19:13:46-06:00,79,4
3.6.0,2011-08-12T11:14:46-06:00,2011-07-30T13:41:24-06:00,33,2
4.0.0,2012-01-04T12:35:31-07:00,2011-08-12T11:14:46-06:00,84,13
4.1.0,2012-02-01T08:36:16-08:00,2012-01-04T12:35:31-07:00,48,9
5.0.0,2012-02-03T14:11:11-07:00,2012-02-01T08:36:16-08:00,3,0
5.1.0,2012-04-14T19:19:54-06:00,2012-02-03T14:11:11-07:00,79,19
5.2.0,2012-08-18T17:50:06-05:00,2012-04-14T19:19:54-06:00,92,17
6.0.0,2012-09-16T10:20:23-05:00,2012-08-18T17:50:06-05:00,33,3
6.1.0,2012-10-02T18:43:44-05:00,2012-09-16T10:20:23-05:00,43,6
6.2.0,2013-01-13T15:30:04-06:00,2012-10-02T18:43:44-05:00,60,12
6.3.0,2013-02-08T10:10:43-06:00,2013-01-13T15:30:04-06:00,45,8
6.4.0,2013-05-01T18:01:45-05:00,2013-02-08T10:10:43-06:00,78,20
6.5.0,2013-08-22T21:48:04-07:00,2013-05-01T18:01:45-05:00,168,43
6.5.1,2013-11-05T13:13:36-08:00,2013-08-22T21:48:04-07:00,58,23
6.5.2,2014-02-04T22:44:25-06:00,2013-11-05T13:13:36-08:00,86,29
7.0.0,2014-07-03T11:52:07-05:00,2014-02-04T22:44:25-06:00,108,26
7.0.1,2014-08-15T12:56:53-05:00,2014-07-03T11:52:07-05:00,37,13
7.0.2,2014-10-24T17:21:44-05:00,2014-08-15T12:56:53-05:00,23,7
7.0.3,2014-12-18T14:18:29-06:00,2014-10-24T17:21:44-05:00,28,12
8.0.0,2015-02-25T10:04:55-06:00,2014-12-18T14:18:29-06:00,228,74
8.0.1,2015-02-26T16:17:48-06:00,2015-02-25T10:04:55-06:00,8,3
8.1.0,2015-03-13T11:01:10-05:00,2015-02-26T16:17:48-06:00,39,16
8.1.1,2015-03-30T23:30:31-05:00,2015-03-13T11:01:10-05:00,21,10
8.2.0,2015-04-29T10:48:40-05:00,2015-03-30T23:30:31-05:00,33,15
8.2.1,2015-05-07T00:13:42-05:00,2015-04-29T10:48:40-05:00,17,7
8.3.0,2015-10-13T09:42:54-05:00,2015-05-07T00:13:42-05:00,62,28
8.4.0,2015-12-01T00:02:49-06:00,2015-10-13T09:42:54-05:00,22,10
8.4.1,2016-01-27T09:09:46-08:00,2015-12-01T00:02:49-06:00,5,2
8.4.2,2016-02-19T15:56:50-07:00,2016-01-27T09:09:46-08:00,10,4
8.5.0,2016-09-20T21:59:28-06:00,2016-02-19T15:56:50-07:00,9,3
8.5.1,2017-02-21T09:58:26-07:00,2016-09-20T21:59:28-06:00,8,3
8.5.2,2017-08-13T19:02:18-06:00,2017-02-21T09:58:26-07:00,6,0
8.5.3,2017-08-18T09:26:03-06:00,2017-08-13T19:02:18-06:00,2,1
9.0.0,2018-02-07T08:47:46-07:00,2017-08-18T09:26:03-06:00,423,78
8.5.4,2018-02-15T16:48:15-07:00,2018-02-07T08:47:46-07:00,33,11
9.0.1,2018-04-30T12:52:11-06:00,2018-02-15T16:48:15-07:00,465,93
9.0.2,2018-08-21T15:54:44-06:00,2018-04-30T12:52:11-06:00,44,13
9.0.3,2018-09-07T08:17:53-06:00,2018-08-21T15:54:44-06:00,12,4
9.0.4,2018-09-07T09:36:32-06:00,2018-09-07T08:17:53-06:00,2,1
9.0.5,2018-09-17T11:21:39-06:00,2018-09-07T09:36:32-06:00,4,1
9.0.6,2018-12-21T14:22:59-07:00,2018-09-17T11:21:39-06:00,31,8
9.0.7,2018-12-28T11:05:30-07:00,2018-12-21T14:22:59-07:00,2,1
