title,publish_date,start_date,number_of_commits,number_of_prs
v0.1,2014-12-23T02:18:48+01:00,2013-03-13T18:13:51-04:00,169,25
v0.1.1,2014-12-27T01:59:05+01:00,2014-12-23T02:18:48+01:00,8,2
v0.1.2,2015-01-05T07:52:30+01:00,2014-12-27T01:59:05+01:00,10,0
v0.1.3,2015-01-10T02:45:58+01:00,2015-01-05T07:52:30+01:00,9,2
v0.1.4-spark-1.1,2015-01-24T23:01:09+01:00,2015-01-10T02:45:58+01:00,19,6
v0.1.4-spark-1.2.0,2015-01-24T23:14:20+01:00,2015-01-24T23:01:09+01:00,3,0
v1.2.0-spark-1.2.0,2015-01-29T01:21:28+01:00,2015-01-24T23:14:20+01:00,14,2
v0.3.0,2015-02-28T16:31:06+01:00,2015-01-29T01:21:28+01:00,88,15
v0.4.0,2015-03-30T02:39:12+02:00,2015-02-28T16:31:06+01:00,50,7
v0.4.1,2015-04-13T16:45:04+02:00,2015-03-30T02:39:12+02:00,27,2
v0.4.2,2015-04-17T19:48:50+02:00,2015-04-13T16:45:04+02:00,4,1
v0.4.3,2015-05-10T15:55:44+02:00,2015-04-17T19:48:50+02:00,2,1
v0.5.0,2015-05-16T23:16:38+02:00,2015-05-10T15:55:44+02:00,80,4
v0.5.1,2015-06-12T21:37:24+02:00,2015-05-16T23:16:38+02:00,5,0
v0.5.2,2015-06-15T12:06:44+02:00,2015-06-12T21:37:24+02:00,2,0
v0.6.0,2015-07-23T03:58:14+02:00,2015-06-15T12:06:44+02:00,172,41
v0.6.1,2015-09-11T01:46:22+02:00,2015-07-23T03:58:14+02:00,83,14
v0.6.2,2015-12-15T16:15:09+01:00,2015-09-11T01:46:22+02:00,943,170
v0.6.3,2016-03-11T08:33:21+01:00,2015-12-15T16:15:09+01:00,325,102
v0.6.4,2016-10-05T14:31:13+03:00,2016-03-11T08:33:21+01:00,79,15
v0.7.0,2016-10-31T14:39:33+01:00,2016-10-05T14:31:13+03:00,35,12
v0.8.2,2017-07-04T12:46:45+03:00,2016-10-31T14:39:33+01:00,154,17
v0.8.3,2017-07-23T16:11:04+03:00,2017-07-04T12:46:45+03:00,2,0
