author,pull_number,title,description,churn,changed_files,activities,comments,comment_dates,state,creation_date,close_date,closed_by
ghost,998,Add PITS Global Data Recovery Services to the company list,0,1,1,2,1,2023-05-22T16:40:09+00:00,closed,2023-05-16T16:06:37+00:00,2023-05-22 16:40:09+00:00,frbayart
asmotrich,997,Develop,0,317640,12,1,0,,closed,2021-10-19T20:20:00+00:00,2021-10-19 20:22:35+00:00,asmotrich
vintop95,995,Updated Agilelab logo,34,2,1,6,1,2021-03-30T08:57:36+00:00,merged,2021-03-30T08:24:40+00:00,2021-03-30 08:57:26+00:00,frbayart
AadityaDubey,992,Update README.md,12,2,1,1,1,2020-06-02T10:00:13+00:00,closed,2020-06-02T09:53:45+00:00,2020-06-02 10:00:13+00:00,andypetrella
renovate[bot],988,Configure Renovate,12111,5,1,2,1,2021-03-31T07:19:39+00:00,closed,2019-06-27T08:31:31+00:00,2021-03-31 07:19:21+00:00,vidma
codetriage-readme-bot,987,Add CodeTriage badge to andypetrella/spark-notebook,2212,5,1,3,0,,closed,2019-06-04T17:19:38+00:00,2020-03-04 21:55:37+00:00,codetriage-readme-bot
vidma,982,Fix cell spark job status bar: new cell id on each run,335,31,2,6,0,,merged,2019-02-13T19:35:06+00:00,2019-02-13 19:36:44+00:00,vidma
vidma,980,Improve progressbar for spark 2.3,359,16,2,6,0,,merged,2019-01-19T14:24:12+00:00,2019-01-19 14:24:43+00:00,vidma
vidma,977,Add/fix job progress bar for spark 2.3+,123,50,2,6,0,,merged,2018-12-28T11:01:27+00:00,2018-12-28 11:09:09+00:00,vidma
vidma,976,Fix sparkUI link for spark 2.3+,65,8,1,4,0,,merged,2018-12-27T20:39:58+00:00,2018-12-27 20:57:36+00:00,vidma
xtordoir,975,basic kubernetes support: build docker image to run in a k8 cluster,45,63,4,9,1,2018-12-27T19:12:40+00:00,merged,2018-12-20T10:28:57+00:00,2018-12-23 21:56:52+00:00,frbayart
andypetrella,969,fix thamadafacka crazy scroll (jeez that was hard),29,276,1,11,2,2018-10-23T09:33:31+00:00;2018-10-23T11:13:07+00:00,merged,2018-10-22T21:25:28+00:00,2018-10-22 21:25:41+00:00,andypetrella
tmnd1991,966,Update Agilelab logo url,84,2,1,3,0,,merged,2018-08-20T16:34:38+00:00,2018-08-21 07:14:42+00:00,vidma
andypetrella,964,using settings for deps is apparently enough in 2.11,51,9,1,10,5,2018-06-24T10:41:13+00:00;2018-06-26T08:07:23+00:00;2018-06-26T08:53:46+00:00;2018-06-26T13:06:09+00:00;2018-06-26T13:06:49+00:00,merged,2018-06-24T09:00:34+00:00,2018-06-26 13:06:17+00:00,andypetrella
andypetrella,959,Fix/spark 2.3,194,8,3,8,4,2018-05-19T15:51:08+00:00;2018-05-21T06:20:45+00:00;2018-05-21T06:29:43+00:00;2018-05-21T06:20:31+00:00,merged,2018-05-19T15:50:08+00:00,2018-06-08 10:23:11+00:00,andypetrella
xkjyeah,958,Set max-classfile-name in compiler args. Fixes #899,200,2,1,3,1,2018-05-02T07:02:38+00:00,merged,2018-05-02T06:38:44+00:00,2018-05-02 07:03:00+00:00,vidma
xkjyeah,956,Fix formatting error in custom_chards.md,0,4,1,3,1,2018-04-04T08:15:35+00:00,merged,2018-04-04T07:38:14+00:00,2018-04-04 08:16:24+00:00,frbayart
vidma,952,Use released pac4j version,0,4,1,6,0,,merged,2018-03-23T10:37:57+00:00,2018-03-23 12:40:00+00:00,vidma
vidma,951,Fix spark 2.3.x: use PlayAkkaHttpServer and dummy SparkMonitor,213,89,4,6,0,,merged,2018-03-23T10:27:11+00:00,2018-03-23 12:36:01+00:00,vidma
vidma,948,Configurable auth session time,0,5,2,5,0,,merged,2018-03-19T16:52:40+00:00,2018-03-19 16:58:30+00:00,vidma
frbayart,946,default spark.driver.host to localhost,0,6,1,5,0,,merged,2018-02-25T20:25:09+00:00,2018-02-25 20:37:32+00:00,frbayart
frbayart,945,Some debian package fix,0,4,2,5,0,,merged,2018-02-25T17:39:11+00:00,2018-02-25 18:05:26+00:00,frbayart
DmitryBe,944,Update init.sc,76,11,1,3,1,2018-02-22T11:30:08+00:00,merged,2018-02-22T09:10:26+00:00,2018-02-22 10:06:43+00:00,frbayart
vidma,941,Add simple Delete folder btn,202,110,11,15,4,2018-02-04T10:31:37+00:00;2018-02-05T16:43:11+00:00;2018-02-06T16:10:15+00:00;2018-02-04T10:26:54+00:00,merged,2018-02-04T10:26:22+00:00,2018-02-24 13:20:40+00:00,vidma
vidma,940,Fix copy&paste in readOnly mode,319,2,1,8,0,,merged,2018-02-04T09:36:20+00:00,2018-02-04 11:43:37+00:00,frbayart
andypetrella,938,Fix notebook upload and better error messages when coursier fails to fetch deps,20,10,3,9,0,,merged,2018-01-19T02:19:49+00:00,2018-01-19 09:01:44+00:00,frbayart
donaldosalas,921,Remove redundant words in exploring_notebook.md,0,2,1,6,2,2017-11-15T07:50:52+00:00;2017-11-15T07:55:56+00:00,merged,2017-11-15T06:42:55+00:00,2017-11-15 07:50:35+00:00,frbayart
james64,919,Date parsing in c3 for TimeseriesChart works,296,128,4,6,23,2017-10-23T15:48:17+00:00;2017-10-23T19:38:56+00:00;2017-10-25T12:28:23+00:00;2017-11-07T17:08:21+00:00;2017-11-08T18:17:30+00:00;2017-10-23T05:59:41+00:00;2017-10-23T06:08:38+00:00;2017-10-23T06:12:16+00:00;2017-10-23T06:20:53+00:00;2017-10-23T06:22:20+00:00;2017-10-23T07:18:24+00:00;2017-10-23T07:21:14+00:00;2017-10-23T07:26:23+00:00;2017-10-23T07:52:57+00:00;2017-10-23T10:32:00+00:00;2017-10-23T10:50:27+00:00;2017-10-23T19:41:41+00:00;2017-10-23T19:45:30+00:00;2017-10-25T12:30:24+00:00;2017-10-25T12:36:01+00:00;2017-11-08T18:16:22+00:00;2017-11-10T06:57:07+00:00;2017-11-10T10:55:12+00:00,merged,2017-10-19T22:39:19+00:00,2017-11-13 08:30:11+00:00,vidma
markpavey,917,Added conf directory to APP_CLASSPATH in spark-notebook.bat for runni…,15,2,1,4,1,2017-12-13T08:27:55+00:00,merged,2017-10-10T14:04:05+00:00,2017-12-13 08:27:30+00:00,frbayart
